JSON_Name,JSON_ValueString
chart.result.0.meta.currency,USD
chart.result.0.meta.symbol,DATA
chart.result.0.meta.exchangeName,NYQ
chart.result.0.meta.instrumentType,EQUITY
chart.result.0.meta.firstTradeDate,1368777600
chart.result.0.meta.gmtoffset,-14400
chart.result.0.meta.timezone,EDT
chart.result.0.meta.exchangeTimezoneName,America/New_York
chart.result.0.meta.chartPreviousClose,54.09
chart.result.0.meta.priceHint,2
chart.result.0.meta.currentTradingPeriod.pre.timezone,EDT
chart.result.0.meta.currentTradingPeriod.pre.start,1556006400
chart.result.0.meta.currentTradingPeriod.pre.end,1556026200
chart.result.0.meta.currentTradingPeriod.pre.gmtoffset,-14400
chart.result.0.meta.currentTradingPeriod.regular.timezone,EDT
chart.result.0.meta.currentTradingPeriod.regular.start,1556026200
chart.result.0.meta.currentTradingPeriod.regular.end,1556049600
chart.result.0.meta.currentTradingPeriod.regular.gmtoffset,-14400
chart.result.0.meta.currentTradingPeriod.post.timezone,EDT
chart.result.0.meta.currentTradingPeriod.post.start,1556049600
chart.result.0.meta.currentTradingPeriod.post.end,1556064000
chart.result.0.meta.currentTradingPeriod.post.gmtoffset,-14400
chart.result.0.meta.dataGranularity,1d
chart.result.0.meta.validRanges.0,1d
chart.result.0.meta.validRanges.1,5d
chart.result.0.meta.validRanges.2,1mo
chart.result.0.meta.validRanges.3,3mo
chart.result.0.meta.validRanges.4,6mo
chart.result.0.meta.validRanges.5,1y
chart.result.0.meta.validRanges.6,2y
chart.result.0.meta.validRanges.7,5y
chart.result.0.meta.validRanges.8,10y
chart.result.0.meta.validRanges.9,ytd
chart.result.0.meta.validRanges.10,max
chart.result.0.timestamp.0,1493040600
chart.result.0.timestamp.1,1493127000
chart.result.0.timestamp.2,1493213400
chart.result.0.timestamp.3,1493299800
chart.result.0.timestamp.4,1493386200
chart.result.0.timestamp.5,1493645400
chart.result.0.timestamp.6,1493731800
chart.result.0.timestamp.7,1493818200
chart.result.0.timestamp.8,1493904600
chart.result.0.timestamp.9,1493991000
chart.result.0.timestamp.10,1494250200
chart.result.0.timestamp.11,1494336600
chart.result.0.timestamp.12,1494423000
chart.result.0.timestamp.13,1494509400
chart.result.0.timestamp.14,1494595800
chart.result.0.timestamp.15,1494855000
chart.result.0.timestamp.16,1494941400
chart.result.0.timestamp.17,1495027800
chart.result.0.timestamp.18,1495114200
chart.result.0.timestamp.19,1495200600
chart.result.0.timestamp.20,1495459800
chart.result.0.timestamp.21,1495546200
chart.result.0.timestamp.22,1495632600
chart.result.0.timestamp.23,1495719000
chart.result.0.timestamp.24,1495805400
chart.result.0.timestamp.25,1496151000
chart.result.0.timestamp.26,1496237400
chart.result.0.timestamp.27,1496323800
chart.result.0.timestamp.28,1496410200
chart.result.0.timestamp.29,1496669400
chart.result.0.timestamp.30,1496755800
chart.result.0.timestamp.31,1496842200
chart.result.0.timestamp.32,1496928600
chart.result.0.timestamp.33,1497015000
chart.result.0.timestamp.34,1497274200
chart.result.0.timestamp.35,1497360600
chart.result.0.timestamp.36,1497447000
chart.result.0.timestamp.37,1497533400
chart.result.0.timestamp.38,1497619800
chart.result.0.timestamp.39,1497879000
chart.result.0.timestamp.40,1497965400
chart.result.0.timestamp.41,1498051800
chart.result.0.timestamp.42,1498138200
chart.result.0.timestamp.43,1498224600
chart.result.0.timestamp.44,1498483800
chart.result.0.timestamp.45,1498570200
chart.result.0.timestamp.46,1498656600
chart.result.0.timestamp.47,1498743000
chart.result.0.timestamp.48,1498829400
chart.result.0.timestamp.49,1499088600
chart.result.0.timestamp.50,1499261400
chart.result.0.timestamp.51,1499347800
chart.result.0.timestamp.52,1499434200
chart.result.0.timestamp.53,1499693400
chart.result.0.timestamp.54,1499779800
chart.result.0.timestamp.55,1499866200
chart.result.0.timestamp.56,1499952600
chart.result.0.timestamp.57,1500039000
chart.result.0.timestamp.58,1500298200
