event_date,event_country,event_name,player_place,prize_usd,player_id,source,last_updated
21-Feb-20,Canada,"C$ 4,700 + 300 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Fallsview, Niagara Falls",22nd,14915,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
15-Sep-19,United States,"$ 3,300 + 200 No Limit Hold'em - WPT Borgata Poker Open Championship (Event #18)World Poker Tour - WPT Borgata Poker Open, Atlantic City",14th,39950,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Jul-17,United States,"$ 1,000 No Limit Hold'em - Ladies Championship (Event #70)48th World Series of Poker - WSOP 2017, Las Vegas",56th,2040,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
14-Jun-17,United States,"$ 3,000 No Limit Hold'em - 6 Handed (Event #27)48th World Series of Poker - WSOP 2017, Las Vegas",56th,6191,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
13-Dec-16,Czech Republic,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",211th,8001,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
3-Nov-16,United States,"$ 200 No Limit Hold'em - Chad Brown Memorial Charity Event (Event #41)PokerStars Festival New Jersey, Atlantic City",5th,1372,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
8-Jul-16,United States,"$ 1,000 No Limit Hold'em Ladies Championship (Event #65)47th World Series of Poker - WSOP 2016, Las Vegas",23rd,4160,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
29-Jun-16,United States,"$ 1,500 No Limit Hold'em Shootout (Event #50)47th World Series of Poker - WSOP 2016, Las Vegas",10th,17255,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
23-Jun-16,United States,"$ 10,000 No Limit Hold'em 6-Handed  Championship (Event #39)47th World Series of Poker - WSOP 2016, Las Vegas",9th,49677,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
20-Jun-16,United States,"$ 1,500 2-7 Triple Draw Lowball (Limit) (Event #34)47th World Series of Poker - WSOP 2016, Las Vegas",20th,3820,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
30-Apr-16,Monaco,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event #28European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",26th,30612,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
26-Jan-16,United States,"$ 400 + 50 No Limit Hold'em - $1 Million Deep Stack (Event #10)World Poker Tour - WPT Borgata Winter Poker Open, Atlantic City",161st,1078,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
14-Dec-15,Czech Republic,"€ 10,000 + 300 #81 No Limit Hold'em -High Roller -  8 HandedEuropean Poker Tour - EPT Prague, Prague",8th,81911,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
25-Aug-15,Spain,"€ 2,000 + 150 No Limit Hold'em - Turbo 8Max #38European Poker Tour - EPT Barcelona, Barcelona",31st,4321,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
9-Aug-15,United States,"$ 175 No Limit Hold'em - BountyPokerStars Pro Tour - Turlock California, Turlock",11th,303,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
2-Jul-15,United States,"$ 240 Chad Brown Memorial Charity EventPhamous Poker Series - Goliath, Las Vegas",3rd,1481,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
27-Jun-15,United States,"$ 100,000 No Limit Hold'em - Shootout Super High Roller Celebrity Shootout, Las Vegas",1st,1000000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
